title,artist,year,decade,categories,social_singing,original_vocal,possible_duplicate,match_confidence,needs_review,notes,raw_input
Drunk On A Plane Wvocal,Dierks Bentley,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-15 - Dierks Bentley - Drunk On A Plane Wvocal.mp3
Bad Girl Phase Wvocal,Sunny Sweeney,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\ASK1408 - Pop And Country August 2014 - KaraokeRG\ASK1408-16 - Sunny Sweeney - Bad Girl Phase Wvocal.mp3
It Takes Two,Katy Perry,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK090\DFK090-02 - Katy Perry - It Takes Two.zip
Who Wouldn't Fall In Love With You,Vince Gill,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK090\DFK090-04 - Vince Gill - Who Wouldn't Fall In Love With You (Wbgv).zip
Who Wouldn't Fall In Love With You,Vince Gill,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK090\DFK090-05 - Vince Gill - Who Wouldn't Fall In Love With You.zip
Midnight Angel,Jimmy Rankin,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK090\DFK090-07 - Jimmy Rankin - Midnight Angel (Wbgv).zip
Midnight Angel,Jimmy Rankin,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK090\DFK090-08 - Jimmy Rankin - Midnight Angel.zip
Love I'm Frightened Of,Katie Melua,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK090\DFK090-11 - Katie Melua - Love I'm Frightened Of.zip
Lover Undercover,Melody Gardot,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK090\DFK090-13 - Melody Gardot - Lover Undercover.zip
Quiet Fire,Melody Gardot,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK090\DFK090-15 - Melody Gardot - Quiet Fire (Wbgv).zip
Quiet Fire,Melody Gardot,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK090\DFK090-16 - Melody Gardot - Quiet Fire.zip
Neon Light,Blake Shelton,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK091\DFK091-02 - Blake Shelton - Neon Light (Wbgv).zip
Neon Light,Blake Shelton,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK091\DFK091-03 - Blake Shelton - Neon Light.zip
DC Play Ball,AC,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK091\DFK091-05 - AC-DC - Play Ball (Wbgv).zip
DC Play Ball,AC,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK091\DFK091-06 - AC-DC - Play Ball.zip
I Don't Know Why I Love You But I Do,Charley Pride,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK091\DFK091-08 - Charley Pride - I Don't Know Why I Love You But I Do (Wbgv).zip
I Don't Know Why I Love You But I Do,Charley Pride,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK091\DFK091-09 - Charley Pride - I Don't Know Why I Love You But I Do.zip
Dear Future Husband,Meghan Trainor,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK091\DFK091-11 - Meghan Trainor - Dear Future Husband (Wbgv).zip
Dear Future Husband,Meghan Trainor,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK091\DFK091-12 - Meghan Trainor - Dear Future Husband.zip
I Think She Only Loves Me For My Willie,Paul Overstreet,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\Dancing Frog Karaoke - Jan 2015 - DFK090 & DFK091\DFK091\DFK091-14 - Paul Overstreet - I Think She Only Loves Me For My Willie (Wbgv).zip
Chase Rice,Ready Set Roll,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\A28546 - Ready Set Roll - Chase Rice.mp3"
Vance Joy,Riptide,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28281 - Riptide - Vance Joy.mp3"
Beyonce feat. Drake,Mine (explicit),,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; kept explicit as version tag; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28440 - Mine (explicit) - Beyonce feat. Drake.mp3"
Lil Wayne feat. Drake,Believe Me (explicit),,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; kept explicit as version tag; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28840 - Believe Me (explicit) - Lil Wayne feat. Drake.mp3"
Charlie XCX,Boom Clap,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28870 - Boom Clap - Charlie XCX.mp3"
Enrique Iglesias feat. Sean Paul,Bailando,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28884 - Bailando (English version) - Enrique Iglesias feat. Sean Paul.mp3"
Kenny Chesney,American Kids,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28898 - American Kids - Kenny Chesney.mp3"
SchoolBoy Q feat. BJ The Chicago Kid,Studio (explicit),,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; kept explicit as version tag; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28900 - Studio (explicit) - SchoolBoy Q feat. BJ The Chicago Kid.mp3"
Pharrell Williams feat. Miley Cyrus,Come Get It Bae (explicit),,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; kept explicit as version tag; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28901 - Come Get It Bae (explicit) - Pharrell Williams feat. Miley Cyrus.mp3"
Ed Sheeran,Thinking Out Loud,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28920 - Thinking Out Loud - Ed Sheeran.mp3"
Becky G,Shower,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28922 - Shower - Becky G.mp3"
Jeremih feat. YG,Don't Tell 'Em (explicit),,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; kept explicit as version tag; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28948 - Don't Tell 'Em (explicit) - Jeremih feat. YG.mp3"
Florida Georgia Line,Dirt,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28953 - Dirt - Florida Georgia Line.mp3"
Fifth Harmony,Bo$$,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28954 - BO$$ - Fifth Harmony.mp3"
T.I. feat. Iggy Azalea,No Mediocre (explicit),,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; kept explicit as version tag; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28956 - No Mediocre (explicit) - T.I. feat. Iggy Azalea.mp3"
Weird Al Yankovich,Word Crimes,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28959 - Word Crimes - Weird Al Yankovich.mp3"
Jason Aldean,Burnin' It Down,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28968 - Burnin' It Down - Jason Aldean.mp3"
Meghan Trainor,All About That Bass (explicit),,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; kept explicit as version tag; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28969 - All About That Bass (explicit) - Meghan Trainor.mp3"
The Catch Up (explicit) Drake,0 to,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; kept explicit as version tag; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28973 - 0 to 100 - The Catch Up (explicit) - Drake.mp3"
Jessie J. feat. Ariana Grande and Nicki Minaj,Bang Bang,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28978 - Bang Bang - Jessie J. feat. Ariana Grande and Nicki Minaj.mp3"
Luke Bryan,Roller Coaster,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\G28989 - Roller Coaster - Luke Bryan.mp3"
Shawn Mendes Life of the Party,K2g00361a,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed bracketed junk; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\K2G00361A - Shawn Mendes - Life of the Party (Instrumental).mp3"
Artpop 46199,Lady GaGa,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\Lady GaGa - Artpop - 46199.mp3"
Stay High,Tove Lo Feat. Hippie Sabotage,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\SF1114340 - Tove Lo Feat. Hippie Sabotage - Stay High.mp3"
Crystalised 38066,The xx,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\The xx - Crystalised - 38066.mp3"
Hideaway Kiesza,Zoom Karaoke,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; assumed artist - title order; removed exact duplicate,"D:\Karaoke\new\1-4-15\Karaoke - Hot Picks August 2014 - SBI, SF, ABX, ZM, K-V, K2G\Zoom Karaoke - Hideaway - Kiesza.mp3"
Worst Behavior,Drake,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1407-2-Pop Rock Rap July 2014\KCD1407-2-01 - Drake - Worst Behavior.mp3
Sing,Ed Sheeran,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1407-2-Pop Rock Rap July 2014\KCD1407-2-02 - Ed Sheeran - Sing.mp3
Shot Me Down,David Guetta & Skylar Grey,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1407-2-Pop Rock Rap July 2014\KCD1407-2-03 - David Guetta & Skylar Grey - Shot Me Down.mp3
Summer,Calvin Harris,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1407-2-Pop Rock Rap July 2014\KCD1407-2-04 - Calvin Harris - Summer.mp3
Or Nah,Ty Dolla Sign & Wiz Khalifa & DJ Mustard,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1407-2-Pop Rock Rap July 2014\KCD1407-2-05 - Ty Dolla Sign & Wiz Khalifa & DJ Mustard - Or Nah.mp3
Stoner,Young Thug,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1407-2-Pop Rock Rap July 2014\KCD1407-2-06 - Young Thug - Stoner.mp3
Love Runs Out,OneRepublic,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1407-2-Pop Rock Rap July 2014\KCD1407-2-07 - OneRepublic - Love Runs Out.mp3
Me And My Broken Heart,Rixton,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1407-2-Pop Rock Rap July 2014\KCD1407-2-08 - Rixton - Me And My Broken Heart.mp3
It's So Hard To Say Goodbye To Yesterday,Jason Mraz,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1407-2-Pop Rock Rap July 2014\KCD1407-2-09 - Jason Mraz - It's So Hard To Say Goodbye To Yesterday.mp3
Na Na,Trey Songz,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1407-2-Pop Rock Rap July 2014\KCD1407-2-10 - Trey Songz - Na Na.mp3
Cold One,Eric Church,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-01 - Eric Church - Cold One.mp3
23 Degrees And South,Billy Currington,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-02 - Billy Currington - 23 Degrees And South.mp3
Young In America,Danielle Bradbery,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-03 - Danielle Bradbery - Young In America.mp3
Love Is Everything,George Strait,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-04 - George Strait - Love Is Everything.mp3
Night That You'll Never Forget,Love And Theft,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-05 - Love And Theft - Night That You'll Never Forget.mp3
Lie A Little Better,Lucy Hale,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-06 - Lucy Hale - Lie A Little Better.mp3
Roller Coaster,Luke Bryan,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-07 - Luke Bryan - Roller Coaster.mp3
Like A Cowboy,Randy Houser,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-08 - Randy Houser - Like A Cowboy.mp3
Feelin' It,Scotty McCreary,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-09 - Scotty McCreary - Feelin' It.mp3
Lie,Tracy Lawrence,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCD1408 - Country August 2014 - KaraokeRG\KCD1408-10 - Tracy Lawrence - Lie.mp3
Chandelier,Sia,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCDPR1408 - Pop And Rock August 2014 - KaraokeRG\KCDPR1408-01 - Sia - Chandelier.mp3
She Looks So Perfect,5 Seconds Of Summer,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCDPR1408 - Pop And Rock August 2014 - KaraokeRG\KCDPR1408-02 - 5 Seconds Of Summer - She Looks So Perfect.mp3
Come Get It Bae,Pharrell Williams & Miley Cyrus,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCDPR1408 - Pop And Rock August 2014 - KaraokeRG\KCDPR1408-03 - Pharrell Williams & Miley Cyrus - Come Get It Bae.mp3
Believer,American Authors,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCDPR1408 - Pop And Rock August 2014 - KaraokeRG\KCDPR1408-04 - American Authors - Believer.mp3
One Minute More,Capital Cities,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCDPR1408 - Pop And Rock August 2014 - KaraokeRG\KCDPR1408-05 - Capital Cities - One Minute More.mp3
Lightning,Cash Cash & John Rzeznik,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCDPR1408 - Pop And Rock August 2014 - KaraokeRG\KCDPR1408-06 - Cash Cash & John Rzeznik - Lightning.mp3
I Choose You,Sara Bareillis,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCDPR1408 - Pop And Rock August 2014 - KaraokeRG\KCDPR1408-07 - Sara Bareillis - I Choose You.mp3
Wasted,Tiesto & Matthew Koma,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCDPR1408 - Pop And Rock August 2014 - KaraokeRG\KCDPR1408-08 - Tiesto & Matthew Koma - Wasted.mp3
Thunder Clatter,Wild Cub,,,,,,Yes,Medium,Yes,removed path fragments; removed file extension; removed machine code; assumed artist - title order; removed exact duplicate,D:\Karaoke\new\1-4-15\KCDPR1408 - Pop And Rock August 2014 - KaraokeRG\KCDPR1408-09 - Wild Cub - Thunder Clatter.mp3
